ID,Genero,Ocupación,Plan_Internacional,Min_En_Dia,Min_Internacionales,Reclamos,Llamadas_Internacionales,Desafiliado
137,Femenino,Educación,no,175.8,5.3,5,4,no
138,Femenino,Educación,no,203.1,12,3,3,no
139,Femenino,Negocios,no,183.2,11.2,1,8,no
140,Masculino,Negocios,no,205,10.2,2,5,no
141,Masculino,Educación,no,148.5,12.4,1,3,no
142,Femenino,Otros,no,200.3,10.5,0,4,no
143,Masculino,Negocios,no,192.6,6.8,3,5,no
144,Femenino,Educación,no,246.5,11.7,1,4,no
145,Masculino,Negocios,si,167.1,14.1,2,7,si
146,Femenino,Negocios,no,231.9,14.3,3,6,no
147,Masculino,Otros,no,146.7,13.7,1,3,no
148,Masculino,Otros,si,271.5,11.7,1,4,no
149,Femenino,Proyectos personales,no,181.5,8.5,1,5,no
150,Masculino,Negocios,no,257.7,11.1,2,4,no
151,Femenino,Proyectos personales,no,193.8,10.6,1,6,no
152,Masculino,Proyectos personales,no,102.8,10.1,1,7,no
153,Masculino,Proyectos personales,no,187.9,7.5,1,6,no
154,Masculino,Proyectos personales,no,226,6.9,1,11,no
155,Masculino,Educación,no,260.4,11.5,5,4,no
156,Femenino,Educación,no,178.7,9.8,0,4,no
157,Femenino,Educación,no,337.4,15.8,0,7,si
158,Femenino,Otros,no,157.6,13.7,0,2,no
159,Masculino,Proyectos personales,no,183.6,10.2,1,2,no
160,Femenino,Educación,no,142.1,9.6,1,4,no
161,Masculino,Proyectos personales,no,136.3,7.1,0,5,no
162,Masculino,Otros,no,217.1,12,0,6,no
163,Femenino,Otros,no,187.5,10.5,3,5,no
164,Masculino,Otros,no,98.9,12.2,1,1,no
165,Masculino,Negocios,no,206.3,6.1,1,3,no
166,Masculino,Otros,no,243.1,12.1,2,2,no
167,Masculino,Otros,no,189.8,7.5,1,3,no
168,Femenino,Otros,no,202,10.9,1,3,no
169,Masculino,Proyectos personales,no,170.1,12.8,1,4,no
170,Femenino,Otros,no,230.9,6.3,0,2,no
171,Femenino,Negocios,no,237.1,13.2,1,2,no
172,Femenino,Educación,no,182.1,10.6,2,5,no
173,Femenino,Otros,no,119.3,10.5,3,4,no
174,Femenino,Negocios,no,116.8,14.1,1,2,no
175,Masculino,Proyectos personales,no,219.2,6.1,0,5,no
176,Masculino,Otros,no,252.6,11.1,2,7,no
177,Femenino,Proyectos personales,no,147.1,12.2,0,3,no
178,Masculino,Otros,no,202.1,11.5,2,3,no
179,Femenino,Negocios,no,173.5,16.2,3,10,no
180,Femenino,Proyectos personales,no,232.1,0,3,0,no
181,Femenino,Negocios,si,197.1,9.5,4,5,no
182,Femenino,Negocios,no,58.2,11.9,5,1,si
183,Masculino,Educación,no,115.6,9.9,2,12,no
184,Femenino,Educación,no,186.1,14.6,2,7,no
185,Masculino,Proyectos personales,si,259.9,8.4,3,3,no
186,Femenino,Educación,no,214.3,10.8,1,13,no
187,Masculino,Educación,no,158.7,10.2,1,4,no
188,Masculino,Educación,no,271.6,10.9,2,3,no
189,Masculino,Otros,no,160.6,9,1,3,no
190,Femenino,Negocios,no,232.4,9.1,1,3,no
191,Femenino,Otros,no,133.8,8.9,0,4,no
192,Masculino,Educación,no,176.9,9.5,1,2,no
193,Masculino,Otros,no,209.9,8.8,2,4,no
194,Femenino,Negocios,no,137.5,13.4,0,2,no
195,Masculino,Proyectos personales,no,289.5,9.5,1,4,no
196,Masculino,Negocios,no,198.1,6.8,1,6,no
197,Femenino,Educación,no,149.7,9.7,0,8,no
198,Masculino,Otros,no,326.5,10.7,2,6,si
199,Femenino,Otros,si,292.9,13.8,4,7,si
200,Femenino,Proyectos personales,no,83,13,0,3,no
201,Masculino,Negocios,no,145.7,13.1,3,5,no
202,Masculino,Negocios,no,182.3,11.2,2,1,no
203,Femenino,Educación,no,218,6.4,3,8,no
204,Femenino,Educación,no,140.6,6.8,2,3,no
205,Femenino,Negocios,no,152.7,9.4,1,4,no
206,Masculino,Educación,no,106.7,12.1,1,2,no
207,Femenino,Negocios,no,243.8,13.7,2,8,no
208,Masculino,Otros,no,194.4,10.8,3,5,no
209,Femenino,Otros,no,213.9,12.2,3,5,no
210,Femenino,Negocios,no,217.2,15.8,3,7,no
211,Masculino,Educación,no,241.1,11.6,1,10,no
212,Masculino,Negocios,si,203.5,11.9,0,11,no
213,Masculino,Educación,no,155.2,10.7,1,3,no
214,Femenino,Educación,no,167.6,12.2,1,6,no
215,Masculino,Proyectos personales,si,226.7,17.6,2,4,si
216,Femenino,Negocios,no,179.3,11.5,3,6,no
217,Femenino,Negocios,no,151.4,10.9,0,3,no
218,Femenino,Educación,no,180,4.7,3,7,no
219,Femenino,Negocios,no,250.2,13,1,2,si
220,Femenino,Otros,no,223,7.1,0,12,no
221,Masculino,Otros,no,183.6,12.2,3,6,no
222,Masculino,Educación,no,166,10.2,1,6,no
223,Masculino,Proyectos personales,no,136.1,4.4,1,2,no
224,Masculino,Proyectos personales,no,149.3,8.9,2,6,no
225,Femenino,Educación,no,65.4,13.8,2,1,no
226,Femenino,Proyectos personales,no,213.4,2.7,1,4,no
227,Masculino,Negocios,no,206.9,7.7,3,2,no
228,Femenino,Educación,no,186.2,9.6,2,3,no
229,Masculino,Negocios,no,280.2,13.3,4,3,no
230,Masculino,Educación,no,196.6,11.9,0,3,no
231,Femenino,Proyectos personales,si,312,10.5,0,2,si
232,Femenino,Proyectos personales,si,199,11,1,6,no
233,Femenino,Proyectos personales,no,203.1,13.5,3,2,no
234,Femenino,Negocios,no,168.8,10.9,0,2,no
235,Femenino,Educación,si,173.1,9,1,5,no
236,Femenino,Negocios,no,134.4,10.2,5,2,si
237,Masculino,Proyectos personales,no,202.6,9,2,9,no
238,Masculino,Negocios,no,74.5,9.8,3,7,no
239,Femenino,Negocios,no,83.6,10.7,0,9,no
240,Femenino,Negocios,no,192.2,9.4,1,6,no
241,Femenino,Negocios,no,220.2,12.9,0,5,no
242,Masculino,Negocios,si,135.1,12.3,2,2,si
243,Femenino,Otros,no,253.4,8.4,1,2,no
244,Femenino,Negocios,no,225,7.1,3,2,no
245,Masculino,Otros,no,198.5,9.4,0,3,si
246,Masculino,Proyectos personales,no,110.3,9.5,0,5,no
247,Femenino,Negocios,no,60,11.1,0,3,no
248,Masculino,Educación,no,214.8,10.2,0,5,no
249,Femenino,Educación,no,181.8,9.2,4,2,no
250,Masculino,Educación,no,154,11.8,2,4,no
251,Femenino,Otros,no,157.4,13.9,4,11,si
252,Femenino,Proyectos personales,no,207.9,14.4,4,7,no
253,Masculino,Proyectos personales,no,207,9.1,3,8,no
254,Femenino,Otros,no,119,9.5,0,3,no
255,Femenino,Educación,si,143.7,10.9,0,3,no
256,Femenino,Educación,no,165.9,14.1,4,8,no
257,Masculino,Educación,no,138.6,9.8,1,3,no
258,Masculino,Educación,no,84.7,14.5,1,8,no
259,Masculino,Proyectos personales,si,62.6,10.4,1,2,si
260,Femenino,Otros,no,155.2,8.7,1,4,no
261,Femenino,Otros,no,164.9,6.7,1,9,no
262,Femenino,Educación,no,134.5,15.4,1,1,no
263,Femenino,Otros,no,143.3,11.5,1,3,no
264,Femenino,Otros,no,168.3,12.5,1,1,no
265,Masculino,Otros,no,262.4,8.3,2,6,no
266,Masculino,Otros,no,206.2,11.4,1,6,no
267,Masculino,Negocios,no,225.8,8.4,4,9,no
268,Femenino,Otros,no,138.3,13.5,3,6,no
269,Masculino,Negocios,no,94.4,4.5,0,4,no
270,Femenino,Proyectos personales,si,160,9.9,2,3,no
271,Femenino,Negocios,no,206.6,14.6,0,3,no
272,Masculino,Negocios,no,134.7,7.7,1,3,no
273,Masculino,Proyectos personales,no,214.4,8,3,13,no
274,Femenino,Otros,no,192.8,13,3,3,no
275,Femenino,Proyectos personales,no,151.1,10,1,3,no
276,Masculino,Proyectos personales,no,221.4,9.8,3,5,no
277,Masculino,Otros,si,218.9,11.1,0,4,no
278,Femenino,Educación,no,189.8,6.5,2,2,si
279,Femenino,Otros,no,192.7,10.9,2,6,no
280,Masculino,Proyectos personales,si,204.4,10.5,3,6,no
281,Femenino,Negocios,no,172.3,13,2,4,no
282,Masculino,Proyectos personales,no,198.4,10.4,2,6,no
283,Femenino,Proyectos personales,no,211.7,12.2,1,1,no
284,Femenino,Negocios,no,221.6,9,1,2,no
285,Masculino,Proyectos personales,no,197.9,6.7,3,5,no
286,Femenino,Educación,no,147.5,15.6,2,3,no
287,Femenino,Negocios,no,206.4,8.8,2,5,no
288,Masculino,Otros,no,205.9,14.5,2,4,no
289,Femenino,Proyectos personales,no,207.6,14.1,0,5,no
290,Femenino,Otros,no,303.9,5.3,1,3,si
291,Masculino,Otros,no,230.6,8,0,2,no
292,Femenino,Otros,no,99.5,9.7,0,3,no
293,Femenino,Negocios,no,177.1,5.9,1,4,no
294,Femenino,Proyectos personales,no,172.7,10.3,5,5,si
295,Femenino,Negocios,no,172.7,9.8,1,3,no
296,Masculino,Otros,no,204.2,9.5,1,5,no
297,Femenino,Negocios,no,85.7,10.1,2,5,no
298,Masculino,Educación,no,157.6,11.9,0,1,no
299,Femenino,Educación,no,215.5,6.6,4,9,no
300,Femenino,Negocios,no,181.5,6.6,1,5,no
301,Masculino,Otros,no,171.7,11.9,2,4,no
302,Masculino,Negocios,no,266.6,5.9,1,2,si
303,Masculino,Otros,no,170.4,11.2,0,3,si
304,Masculino,Negocios,no,158,9.1,1,4,no
305,Masculino,Negocios,no,92,10.3,1,10,no
306,Masculino,Otros,no,234,9.1,2,5,no
307,Masculino,Proyectos personales,no,272.1,8.5,1,10,si
308,Masculino,Educación,no,296.4,11.4,4,3,si
309,Femenino,Educación,no,194.4,11.4,0,2,no
310,Masculino,Negocios,no,227.2,8.9,3,4,no
311,Femenino,Educación,no,248.7,13.2,1,2,si
312,Femenino,Otros,no,236.3,9.7,1,6,no
313,Masculino,Educación,no,205.6,10.9,0,3,no
314,Femenino,Negocios,no,94.1,9.8,0,4,no
315,Masculino,Negocios,no,125.2,18.9,0,2,no
316,Femenino,Proyectos personales,no,60.4,12.4,1,3,no
317,Femenino,Negocios,no,121,7.7,2,4,no
318,Masculino,Proyectos personales,no,117.8,7.6,3,3,no
319,Masculino,Proyectos personales,no,232.4,5,3,5,no
320,Femenino,Proyectos personales,si,223.5,9.4,2,2,si
321,Femenino,Negocios,no,176.3,6.2,0,3,no
322,Femenino,Negocios,no,125.2,12.9,1,3,no
323,Femenino,Negocios,no,138.7,10,0,3,no
324,Masculino,Otros,no,86.3,11.3,1,4,no
325,Masculino,Educación,no,207,13.4,3,5,no
326,Masculino,Educación,no,58.8,7.1,0,3,no
327,Femenino,Educación,no,68.7,11.4,1,4,no
328,Masculino,Proyectos personales,no,239.2,9.5,1,4,no
329,Femenino,Educación,no,198.3,12.5,0,3,no
330,Femenino,Negocios,no,205.2,14.4,0,12,no
331,Femenino,Proyectos personales,no,192.1,7.9,3,2,no
332,Femenino,Negocios,no,272.6,9.5,1,2,si
333,Masculino,Otros,no,128.3,12.2,7,5,si
334,Femenino,Proyectos personales,no,169.6,9.3,0,4,no
335,Femenino,Otros,no,201.3,7.5,1,4,no
336,Femenino,Educación,no,214.7,8.6,1,4,no
337,Masculino,Educación,no,169.2,10.6,0,2,no
338,Masculino,Proyectos personales,no,194.1,7,2,7,no
339,Masculino,Otros,no,233.8,7.6,2,3,no
340,Masculino,Negocios,no,225.1,14.6,0,2,no
341,Femenino,Negocios,no,213,9.1,1,1,si
342,Masculino,Proyectos personales,no,183.9,10.8,1,11,no
343,Femenino,Educación,no,221.8,14,0,7,no
344,Masculino,Proyectos personales,no,64.6,0,2,0,no
345,Masculino,Proyectos personales,no,154.6,13.3,1,3,no
346,Masculino,Otros,no,260.2,7.2,3,8,no
347,Femenino,Educación,no,161.6,12.2,1,5,no
348,Femenino,Negocios,no,220.6,10.5,1,11,no
349,Masculino,Educación,no,155.9,13.1,3,5,no
350,Femenino,Educación,no,107,12.8,4,3,si
351,Femenino,Otros,no,182.5,11.3,4,8,no
352,Masculino,Otros,si,220.1,10.1,4,4,no
353,Masculino,Educación,no,152.2,5.3,1,3,no
354,Femenino,Negocios,no,181.5,14.7,2,9,no
355,Femenino,Proyectos personales,si,236.2,13.2,2,2,si
356,Femenino,Proyectos personales,no,166.1,12.7,1,2,no
357,Femenino,Educación,si,244.6,11.3,1,4,no
358,Femenino,Proyectos personales,no,134.2,8.5,2,2,no
359,Masculino,Negocios,si,149.7,9.2,1,4,no
360,Masculino,Educación,no,150.1,5.8,1,4,no
361,Masculino,Educación,si,257.1,8.8,1,6,si
362,Femenino,Otros,no,124.4,11.3,0,6,no
363,Masculino,Educación,no,141.7,12,1,5,no
364,Masculino,Proyectos personales,no,230,11.3,2,3,no
365,Femenino,Otros,no,162.3,10.9,0,2,no
366,Masculino,Negocios,no,350.8,10.1,1,9,si
367,Masculino,Negocios,no,193.3,9.1,4,3,no
368,Femenino,Negocios,no,78.2,18,1,3,no
369,Masculino,Educación,no,83.4,7.6,1,5,no
370,Femenino,Educación,no,195.6,16,0,2,no
371,Masculino,Otros,no,201.8,10.3,1,6,no
372,Femenino,Negocios,no,197,10.6,2,6,no
373,Masculino,Otros,si,218,12.4,0,1,si
374,Femenino,Otros,no,164.8,14.8,2,2,no
375,Femenino,Negocios,no,179.2,9.2,2,6,no
376,Masculino,Otros,no,214,10.6,0,5,no
377,Masculino,Proyectos personales,no,170.5,11.2,2,7,no
378,Femenino,Negocios,no,205.7,6.7,1,18,no
379,Masculino,Proyectos personales,si,165.5,11.5,1,2,si
380,Femenino,Otros,no,221,6.8,2,4,no
381,Masculino,Proyectos personales,no,242.1,14.7,3,2,no
382,Masculino,Otros,no,151.6,14.7,1,4,no
383,Femenino,Proyectos personales,si,176.2,5.7,0,4,no
384,Masculino,Otros,si,196,3.7,1,5,no
385,Masculino,Negocios,no,159.5,7.2,2,4,no
386,Femenino,Otros,no,230.2,10.7,4,7,no
387,Masculino,Negocios,no,146.7,8.9,3,1,no
388,Femenino,Proyectos personales,no,210.5,8.5,1,5,no
389,Femenino,Otros,no,102,10.7,1,3,no
390,Femenino,Educación,no,126,10.2,3,6,no
391,Femenino,Negocios,no,168.4,11.1,1,2,no
392,Masculino,Proyectos personales,no,105.6,8.7,0,3,no
393,Masculino,Negocios,no,206.5,12.4,5,5,no
394,Femenino,Educación,no,217.1,9.4,2,3,no
395,Masculino,Otros,no,229.6,10.8,0,2,si
396,Masculino,Otros,no,278.3,9.7,0,5,no
397,Femenino,Otros,no,138.6,7.8,0,4,no
398,Femenino,Proyectos personales,no,234.4,2,1,2,si
399,Femenino,Negocios,no,181.5,8.5,1,4,no
400,Femenino,Otros,no,167.3,10.6,1,5,si
401,Femenino,Negocios,no,121,12,1,1,no
402,Masculino,Negocios,no,221.1,10.6,0,3,no
403,Masculino,Negocios,no,145.8,9.9,1,2,no
404,Masculino,Educación,no,222.8,11.2,1,6,no
405,Masculino,Educación,no,183.4,7.5,4,3,no
406,Masculino,Negocios,si,264.3,9.3,0,5,no
407,Femenino,Otros,no,146,6.8,0,7,no
408,Masculino,Otros,no,157.1,8.5,4,5,si
409,Femenino,Negocios,si,127.3,10.3,1,3,no
410,Femenino,Otros,no,187.9,4.8,2,4,no
411,Masculino,Negocios,no,178.8,8.4,2,5,no
412,Femenino,Educación,no,97.2,10.4,2,6,no
413,Femenino,Educación,no,259.8,5.4,0,1,no
414,Femenino,Proyectos personales,no,256.5,7,3,5,no
415,Masculino,Negocios,no,169.5,10,0,3,no
416,Femenino,Negocios,no,239.7,8.7,2,3,si
417,Femenino,Negocios,si,171.5,5,1,2,si
418,Femenino,Otros,no,239.9,9.8,0,2,no
419,Femenino,Educación,no,142.3,16,1,6,no
420,Masculino,Otros,no,184.1,7.5,2,6,no
421,Masculino,Otros,no,206.9,9.3,2,11,no
422,Femenino,Negocios,no,259.9,15.3,1,1,no
423,Masculino,Negocios,no,203.8,12.5,0,3,no
424,Masculino,Educación,no,248.8,10.3,3,2,no
425,Femenino,Educación,no,221.6,11.3,1,3,no
426,Masculino,Otros,si,192.9,10.9,1,4,no
427,Masculino,Proyectos personales,no,122.4,12.5,1,7,no
428,Masculino,Proyectos personales,no,104.9,9.6,1,9,no
429,Masculino,Negocios,no,173.2,11.2,3,5,no
430,Masculino,Educación,no,119.4,12.4,2,7,no
431,Femenino,Otros,no,250.3,13.3,2,2,si
432,Femenino,Educación,no,178.3,11.4,1,4,no
433,Masculino,Negocios,no,243.4,12.8,1,2,no
434,Masculino,Negocios,no,155,11.8,2,5,no
435,Femenino,Educación,no,288.7,8.6,0,3,no
436,Masculino,Negocios,no,240.4,11.2,1,3,no
437,Femenino,Proyectos personales,no,190.3,8,1,3,no
438,Masculino,Negocios,no,278,8.3,0,4,si
439,Femenino,Negocios,no,155,13.5,1,3,no
440,Masculino,Educación,no,153.5,6.3,2,2,no
441,Femenino,Proyectos personales,no,273.4,12.3,1,6,no
442,Masculino,Otros,no,155.3,12.4,0,4,no
443,Masculino,Otros,no,133.1,6.8,1,3,no
444,Masculino,Negocios,no,246.8,12.6,1,5,no
445,Masculino,Educación,si,165.4,9.6,2,7,no
446,Masculino,Proyectos personales,no,59.5,11.1,0,6,no
447,Masculino,Educación,no,138.3,9.6,3,4,no
448,Femenino,Negocios,no,286.7,6.9,2,5,no
449,Femenino,Negocios,no,117.3,12.2,1,3,no
450,Masculino,Otros,no,264.3,6.3,4,3,no
451,Femenino,Proyectos personales,no,127.9,12.5,0,5,no
452,Femenino,Otros,no,225.5,9.8,0,2,no
453,Femenino,Negocios,no,149,8.3,0,3,no
454,Masculino,Educación,no,198.9,14.3,1,9,no
455,Masculino,Proyectos personales,no,256.4,11.1,1,1,si
456,Femenino,Otros,no,264.8,14.8,1,2,si
457,Masculino,Proyectos personales,no,98.2,9.3,2,2,no
458,Femenino,Otros,no,159.8,9.7,2,7,no
459,Masculino,Proyectos personales,no,190.6,6,3,3,no
460,Masculino,Negocios,no,184,11,0,3,no
461,Masculino,Negocios,no,261.8,9.6,1,5,no
462,Femenino,Negocios,no,147.9,9.6,3,9,no
463,Femenino,Negocios,no,106.4,10.1,1,5,no
464,Femenino,Proyectos personales,no,133.7,5.9,0,2,no
465,Masculino,Otros,no,193.5,8.5,0,5,no
466,Masculino,Negocios,si,178.2,13.6,3,3,si
467,Femenino,Educación,no,226.2,10.5,3,5,si
468,Femenino,Proyectos personales,no,170.4,11.6,1,4,no
469,Masculino,Negocios,no,70.9,11.1,3,5,no
470,Femenino,Educación,no,194.4,17.2,2,9,no
471,Femenino,Otros,no,240.3,10.6,1,2,no
472,Femenino,Otros,no,75,9.5,3,6,no
473,Femenino,Educación,no,69.1,6.3,1,3,no
474,Masculino,Proyectos personales,no,96.6,6.2,4,4,si
475,Masculino,Negocios,no,214.6,14.8,0,12,no
476,Masculino,Negocios,no,148.5,9.9,3,6,no
477,Femenino,Proyectos personales,no,258.1,11.7,1,5,no
478,Femenino,Proyectos personales,no,149.7,7.6,3,2,no
479,Masculino,Educación,no,149.8,8.1,1,2,no
480,Masculino,Negocios,no,190.4,11.2,2,4,no
481,Masculino,Proyectos personales,no,181.4,11.6,1,6,no
482,Femenino,Educación,no,151.1,5.3,1,3,no
483,Masculino,Proyectos personales,no,155.7,8.1,0,4,no
484,Masculino,Otros,no,149.9,13.3,2,13,no
485,Femenino,Educación,no,222.3,11,3,2,no
486,Masculino,Negocios,no,149.4,6.7,0,2,no
487,Masculino,Proyectos personales,si,233.8,12.8,0,3,no
488,Masculino,Otros,no,204.2,10.5,0,2,no
489,Femenino,Proyectos personales,no,242.9,0,1,0,no
490,Masculino,Educación,no,150.4,12.3,1,4,no
491,Masculino,Proyectos personales,no,208.9,12.8,0,7,no
492,Masculino,Negocios,si,191.9,14.3,1,6,si
493,Femenino,Proyectos personales,si,130.7,9.4,2,2,si
494,Femenino,Negocios,no,119.6,5.9,2,2,no
495,Masculino,Negocios,no,273.6,8.2,1,4,no
496,Masculino,Educación,si,156.1,11.1,2,9,no
497,Femenino,Negocios,no,178.7,8,2,4,no
498,Masculino,Otros,no,177.5,11.9,2,3,no
499,Femenino,Otros,si,211.3,9.7,4,4,si
